fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2008-12-31,2009-01-21,1.23,1.22,0.01,0.8197
2008-09-30,2008-10-16,1.33,1.31,0.02,1.5267
2008-06-30,2008-07-17,1.32,1.3,0.02,1.5385
2008-03-31,2008-04-17,1.03,1.01,0.02,1.9802
2007-12-31,2008-01-23,1.08,1.07,0.01,0.9346
2007-09-30,2007-10-17,1.21,1.16,0.05,4.3103
2007-06-30,2007-07-18,1.16,1.15,0.01,0.8696
2007-03-31,2007-04-18,0.82,0.8,0.02,2.5
2006-12-31,2007-01-23,0.87,0.85,0.02,2.3529
2006-09-30,2006-10-17,0.99,0.96,0.03,3.125
2006-06-30,2006-07-18,1.09,1.01,0.08,7.9208
2006-03-31,2006-04-19,0.76,0.73,0.03,4.1096
2005-12-31,2006-01-24,0.71,0.7,0.01,1.4286
2005-09-30,2005-10-18,0.81,0.79,0.02,2.5316
2005-06-30,2005-07-20,0.95,0.85,0.1,11.7647
2005-03-31,2005-04-20,0.64,0.62,0.02,3.2258
2004-12-31,2005-01-21,0.65,0.64,0.01,1.5625
2004-09-30,2004-10-20,0.72,0.71,0.01,1.4085
2004-06-30,2004-07-21,0.83,0.79,0.04,5.0633
2004-03-31,2004-04-21,0.57,0.56,0.01,1.7857
2003-12-31,2004-01-20,0.58,0.56,0.02,3.5714
2003-09-30,2003-10-16,0.64,0.62,0.02,3.2258
2003-06-30,2003-07-17,0.63,0.61,0.02,3.2787
2003-03-31,2003-04-17,0.5,0.49,0.01,2.0408
2002-12-31,2003-01-16,0.53,0.52,0.01,1.9231
2002-09-30,2002-10-17,0.61,0.59,0.02,3.3898
2002-06-30,2002-07-17,0.62,0.6,0.02,3.3333
2002-03-31,2002-04-17,0.46,0.45,0.01,2.2222
2001-12-31,2002-01-17,0.35,0.33,0.02,6.0606
2001-09-30,2001-10-16,0.56,0.56,0,0
2001-06-30,2001-07-18,0.58,0.57,0.01,1.7544
2001-03-31,2001-04-19,0.43,0.42,0.01,2.381
2000-12-31,2001-01-18,0.42,0.42,0,0
2000-09-30,2000-10-18,0.49,0.48,0.01,2.0833
2000-06-30,2000-07-19,0.5,0.49,0.01,2.0408
2000-03-31,2000-04-19,0.37,0.36,0.01,2.7778
1999-12-31,2000-01-19,0.35,0.34,0.01,2.9412
1999-09-30,1999-10-19,0.42,0.41,0.01,2.439
1999-06-30,1999-07-20,0.43,0.41,0.02,4.878
1999-03-31,1999-04-20,0.16,0.3,-0.14,-46.6667
1998-12-31,1999-01-21,0.29,0.28,0.01,3.5714
1998-09-30,1998-10-21,0.35,0.33,0.02,6.0606
1998-06-30,1998-07-23,0.36,0.35,0.01,2.8571
1998-03-31,1998-04-22,0.28,0.25,0.03,12
1997-12-31,1998-01-22,0.24,0.23,0.01,4.3478
1997-09-30,1997-10-22,0.29,0.28,0.01,3.5714
1997-06-30,1997-07-23,0.29,0.29,0,0
1997-03-31,1997-04-23,0.22,0.2,0.02,10
1996-12-31,1997-01-23,0.22,0.21,0.01,4.7619
1996-09-30,1996-10-23,0.24,0.23,0.01,4.3478
1996-06-30,1996-07-24,0.25,0.24,0.01,4.1667
1996-03-31,1996-04-23,0.16,0.15,0.01,6.6667
