fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-06-30,2023-07-25,1.29,1.18,0.11,9.322
2023-03-31,2023-04-25,1.22,1.13,0.09,7.9646
2022-12-31,2023-01-24,1.27,1.24,0.03,2.4194
2022-09-30,2022-10-25,1.21,1.14,0.07,6.1404
2022-06-30,2022-07-26,1.16,1.12,0.04,3.5714
2022-03-31,2022-04-26,1.15,1.02,0.13,12.7451
2021-12-31,2022-01-25,1.08,1.02,0.06,5.8824
2021-09-30,2021-10-26,1.26,1.08,0.18,16.6667
2021-06-30,2021-07-27,1.03,0.93,0.1,10.7527
2021-03-31,2021-04-27,0.9,0.87,0.03,3.4483
2020-12-31,2021-01-26,0.74,0.7,0.04,5.7143
2020-09-30,2020-10-27,0.58,0.5,0.08,16
2020-06-30,2020-07-28,0.4,0.12,0.28,233.3333
2020-03-31,2020-05-07,1.78,1.22,0.56,45.9016
2019-12-31,2020-01-28,1.94,1.84,0.1,5.4348
2019-09-30,2019-10-22,2.21,2.03,0.18,8.867
2019-06-30,2019-07-23,2.2,2.05,0.15,7.3171
2019-03-31,2019-04-23,1.91,1.71,0.2,11.6959
2018-12-31,2019-01-23,1.95,1.53,0.42,27.451
2018-09-30,2018-10-23,1.93,1.81,0.12,6.6298
2018-06-30,2018-07-24,1.97,1.85,0.12,6.4865
2018-03-31,2018-04-24,1.77,1.52,0.25,16.4474
2017-12-31,2018-01-24,1.6,1.56,0.04,2.5641
2017-09-30,2017-10-24,1.73,1.68,0.05,2.9762
2017-06-30,2017-07-25,1.85,1.78,0.07,3.9326
2017-03-31,2017-04-26,1.48,1.39,0.09,6.4748
2016-12-31,2017-01-25,1.56,1.56,0,0
2016-09-30,2016-10-25,1.76,1.66,0.1,6.0241
2016-06-30,2016-07-26,1.82,1.68,0.14,8.3333
2016-03-31,2016-04-27,1.42,1.39,0.03,2.1583
2015-12-31,2016-01-27,1.37,1.52,-0.15,-9.8684
2015-09-30,2015-10-20,1.61,1.55,0.06,3.871
2015-06-30,2015-07-21,1.73,1.71,0.02,1.1696
2015-03-31,2015-04-21,1.58,1.45,0.13,8.9655
2014-12-31,2015-01-26,1.62,1.62,0,0
2014-09-30,2014-10-21,2.04,1.81,0.23,12.7072
2014-06-30,2014-07-22,1.84,1.71,0.13,7.6023
2014-03-31,2014-04-22,1.32,1.27,0.05,3.937
2013-12-31,2014-01-22,1.58,1.53,0.05,3.268
2013-09-30,2013-10-22,1.55,1.54,0.01,0.6494
2013-06-30,2013-07-23,1.7,1.57,0.13,8.2803
2013-03-31,2013-04-23,1.39,1.29,0.1,7.7519
2012-12-31,2013-01-23,1.04,1.03,0.01,0.9709
2012-09-30,2012-10-23,1.37,1.18,0.19,16.1017
2012-06-30,2012-07-26,1.62,1.41,0.21,14.8936
2012-03-31,2012-04-24,1.31,1.2,0.11,9.1667
2011-12-31,2012-01-25,1.47,1.46,0.01,0.6849
2011-09-30,2011-10-19,1.47,1.44,0.03,2.0833
2011-06-30,2011-07-20,1.45,1.41,0.04,2.8369
2011-03-31,2011-04-20,1.11,1.07,0.04,3.7383
2010-12-31,2011-01-26,1.31,1.29,0.02,1.5504
2010-09-30,2010-10-20,1.3,1.28,0.02,1.5625
2010-06-30,2010-07-21,1.2,1.16,0.04,3.4483
2010-03-31,2010-04-21,0.93,0.9,0.03,3.3333
2009-12-31,2010-01-27,1.15,1.14,0.01,0.8772
2009-09-30,2009-10-20,1.14,1.12,0.02,1.7857
2009-06-30,2009-07-21,1.05,1.04,0.01,0.9615
2009-03-31,2009-04-21,0.78,0.78,0,0
