fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-06-30,2023-08-09,-0.13,-0.11,-0.02,-18.1818
2023-03-31,2023-05-09,-0.16,-0.08,-0.08,-100
2022-12-31,2023-03-15,-0.21,-0.02,-0.19,-950
2022-09-30,2022-11-11,-0.19,-0.08,-0.11,-137.5
2022-06-30,2022-08-10,-0.0831,None,None,None
2022-03-31,2022-04-29,-0.13,None,None,None
2021-12-31,2022-03-10,-0.34,None,None,None
2021-09-30,2021-09-30,-0.067,None,None,None
2021-06-30,2021-06-30,-0.1542,None,None,None
2021-03-31,2021-03-31,0.3038,None,None,None
2020-12-31,2020-12-31,-0.4509,None,None,None
